source_text_path: test_sample\derived\adjacency\beam_step_adjacency.txt
best_score: 94
best_tie_count: 55

best_candidates:
01. score 94 | eta_sum 107.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_08196, case_08196, case_15364, case_15364, case_15880, case_15880, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_04033, case_04033, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_08196, case_08196, case_15364, case_15364, case_15880, case_15880, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_04033, case_04033, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
02. score 94 | eta_sum 108.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_15376, case_15376, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_04033, case_04033, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_15376, case_15376, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_04033, case_04033, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
03. score 94 | eta_sum 108.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_15880, case_15880, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_15880, case_15880, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
04. score 94 | eta_sum 106.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00097, case_00097, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00097, case_00097, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
05. score 94 | eta_sum 108.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
06. score 94 | eta_sum 105.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_00505, case_00505, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_00505, case_00505, case_01021, case_01021, case_04093, case_04093
07. score 94 | eta_sum 106.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
08. score 94 | eta_sum 105.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00097, case_00097, case_00241, case_00241, case_00505, case_00505, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00241, case_00241, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00097, case_00097, case_00241, case_00241, case_00505, case_00505, case_01021, case_01021, case_04093, case_04093
09. score 94 | eta_sum 106.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00481, case_00481, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00481, case_00481, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
10. score 94 | eta_sum 108.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_01009, case_01009, case_04081, case_04081, case_04095, case_04095, case_00001, case_00001, case_00049, case_00049, case_00241, case_00241, case_01009, case_01009, case_01021, case_01021, case_04093, case_04093
11. score 94 | eta_sum 104.000000 | step_scores [14, 28, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 20, 24, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26, 22, 25, 22, 25, 24, 26, 24, 26, 24, 26, 24, 26, 24, 26] | selected_case_keys case_00001, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00121, case_00121, case_00253, case_00253, case_01021, case_01021, case_04093, case_04093, case_00001, case_00001, case_12290, case_12290, case_15364, case_15364, case_16132, case_16132, case_16144, case_16144, case_16192, case_16192, case_00001, case_00001, case_00193, case_00193, case_00961, case_00961, case_01009, case_01009, case_04081, case_04081, case_16377, case_16377, case_00001, case_00001, case_00049, case_00049, case_00121, case_00121, case_00253, case_00253, case_01021, case_01021, case_04093, case_04093
